umap_x,umap_y,label
-2.0297568,-0.1760691,1
-2.029512,-0.17567444,1
-2.029175,-0.17602833,1
-2.0284903,-0.17598742,1
-2.0283623,-0.17556846,1
-2.0283477,-0.17560044,1
-2.028269,-0.17552167,1
-2.0280256,-0.1753809,1
-2.0280097,-0.1754828,1
-2.0279624,-0.17523253,1
-2.027771,-0.17503484,1
-2.0277185,-0.17548998,1
-2.0276241,-0.17556785,1
-2.0261924,-0.17626713,1
-2.0261216,-0.17606287,1
-2.0248418,-0.16481255,1
-2.024721,-0.16567425,1
-2.0246243,-0.16664222,1
-2.023952,-0.16680086,1
-2.0230072,-0.16627267,1
-2.0227957,-0.16494137,1
-2.022795,-0.16493253,1
-2.0225337,-0.16439569,1
-2.022443,-0.1648843,1
-2.0224082,-0.16490269,1
-2.0224028,-0.16483723,1
-2.022389,-0.16467841,1
-2.02237,-0.16472015,1
-2.022322,-0.16462603,1
-2.0212123,-0.16285022,1
-2.0210247,-0.16263966,1
-2.0196226,-0.16322175,1
-2.0194523,-0.1621777,1
-2.019315,-0.16331178,1
-2.0191486,-0.16312747,1
-2.018992,-0.16305357,1
-2.0168931,-0.16244048,1
-2.015413,-0.16184045,1
-2.0150821,-0.16170658,1
-1.9991872,-0.15852834,1
-1.9975173,-0.1894377,1
-1.9948821,-0.24035391,1
-1.9939996,-0.12701073,1
-1.9936973,-0.24595441,1
-1.993614,-0.24575293,1
-1.9936099,-0.24614997,1
-1.9936038,-0.2458518,1
-1.9935004,-0.24586132,1
-1.9934279,-0.245879,1
-1.9934058,-0.24521239,1
-1.993391,-0.24548875,1
-1.9933535,-0.24583395,1
-1.9933333,-0.24595499,1
-1.9932793,-0.24571627,1
-1.9932625,-0.24596512,1
-1.9932307,-0.24730948,1
-1.9931959,-0.24573313,1
-1.9931251,-0.24547407,1
-1.9931097,-0.24206647,1
-1.993105,-0.24195911,1
-1.9930415,-0.24561617,1
-1.9929234,-0.24141312,1
-1.9929118,-0.24540584,1
-1.9928172,-0.24494223,1
-1.992601,-0.24497318,1
-1.9925964,-0.24491943,1
-1.9924383,-0.24501711,1
-1.9917679,-0.2460597,1
-1.9917351,-0.24552187,1
-1.9916013,-0.13470285,1
-1.9913013,-0.24573524,1
-1.9911884,-0.24597527,1
-1.9910594,-0.24563353,1
-1.990935,-0.24531686,1
-1.9905455,-0.12265375,1
-1.9905177,-0.24536495,1
-1.9900371,-0.18927263,1
-1.9898897,-0.2448054,1
-1.9893546,-0.2113572,1
-1.9891608,-0.23636532,1
-1.988324,-0.2256119,1
-1.987962,-0.14682017,1
-1.9874637,-0.109718375,1
-1.9872814,-0.09973456,1
-1.9870653,-0.1585604,1
-1.9869204,-0.11026576,1
-1.9867092,-0.10269153,1
-1.9866561,-0.1011419,1
-1.9864522,-0.1819919,1
-1.9864235,-0.10789601,1
-1.986387,-0.10782365,1
-1.9861077,-0.106038935,1
-1.9860317,-0.102340534,1
-1.9857303,-0.10842891,1
-1.9855362,-0.10968104,1
-1.9854712,-0.10581539,1
-1.9854257,-0.14053008,1
-1.9848511,-0.247172,1
-1.9843155,-0.08373359,1
-1.9841632,-0.08089961,1
-1.9839306,-0.07977219,1
-1.9838678,-0.24336122,1
-1.9838042,-0.100252904,1
-1.9837734,-0.24339518,1
-1.9834602,-0.07096661,1
-1.9832873,-0.07857799,1
-1.9828655,-0.07193268,1
-1.9826832,-0.2442297,1
-1.9824109,-0.06461083,1
-1.9823415,-0.07230247,1
-1.9820352,-0.07718449,1
-1.9818118,-0.061725527,1
-1.9815941,-0.20982027,1
-1.9814873,-0.19158354,1
-1.9809635,-0.03237708,1
-1.9803039,-0.084045045,1
-1.9799544,-0.09724937,1
-1.979778,-0.09581577,1
-1.9791082,-0.04579002,1
-1.9789025,-0.08200405,1
-1.9788002,-0.002223727,1
-1.9784893,-0.021738404,1
-1.9784371,-0.02995709,1
-1.9781507,-0.008797132,1
-1.9778987,-0.036924742,1
-1.9777297,-0.24159478,1
-1.9774286,-0.24182628,1
-1.9771097,-0.2408213,1
-1.9770448,-0.072593175,1
